,SN,Outlier,Epoch,PC-1,PC-2,PC-3,PC-4,PC-5,PC-6,PC-7,PC-8,PC-9,PC-10,PC-11,PC-12,PC-13,PC-14,PC-15,PC-16,PC-17,PC-18,PC-19,PC-20,PC-21,PC-22,PC-23,PC-24,PC-25,PC-26,PC-27,PC-28,PC-29,PC-30,PC-31,PC-32,PC-33,PC-34,PC-35,PC-36,PC-37,PC-38,PC-39,PC-40,PC-41,PC-42,PC-43,PC-44,PC-45,PC-46,PC-47,PC-48,PC-49,PC-50,PC-51,PC-52,PC-53,PC-54,PC-55,PC-56,PC-57,PC-58,PC-59,PC-60,PC-61,PC-62,PC-63,PC-64,PC-65,PC-66,PC-67,PC-68,PC-69,PC-70
10,1990E,,40,-0.3219255294705143,0.7181272468749217,0.6413130998732505,-0.15514389637566728,-0.2245547926746641,0.18581669148035299,-0.00906086883990487,0.36026180567497174,0.07844457935309206,0.20666813384164615,-0.2980006249827058,-0.18050575897525548,-0.032642940870282335,-0.014761410314368867,0.4037006284408597,-0.014512398567322232,0.03134919547184328,-0.03503315589831002,0.19949186433120983,0.12890482545176604,-0.17456645626377723,-0.0876000606985781,-0.08736851835129918,-0.07976447082508495,-0.10336891862789817,-0.08173426357120044,-0.23175113969504546,0.08203948181148331,-0.0651707830382258,-0.04925312205925009,0.31988658931992836,-0.045128052607661076,-0.12193027565791163,0.036801339770640304,0.01834988369795899,0.07703927475817993,-0.17315797745565378,-0.10069367577831273,0.02243449969235798,0.0625395200467111,0.13429125121437402,0.08146874216389448,-0.07222001487515564,-0.022506219994799133,-0.08951506587983699,-0.06832151547614641,-0.1075836883820138,-0.27833069424829887,-0.08051433860583104,-0.042834937251770566,-0.10431868673449211,0.01838626070231815,0.019841787872251465,0.1780857124193708,0.16619632883646243,-0.135318350267665,0.09136505996780445,-0.016098816084310755,-0.14776613570325467,-0.020898090229008345,0.1465258970075277,0.28504519359779973,0.009042570799349585,-0.19439400670018253,-0.26747194781345013,-0.006857168873815235,-0.12784682197247252,0.026937575553197462,0.03706578286357313,-0.026548527315642466
11,1990E,,50,0.7744160197625186,-0.2579711549259666,-0.7373526686995688,-0.02229396955222496,-0.1952242085390106,-0.3082301400142075,-0.07398125539767396,0.07536388047219819,-0.17935340663285954,-0.5295285218809215,0.08972284878289401,0.06357140629268146,-0.05369966319418837,0.020783884573600277,-0.3057942675043364,-0.08226781304762643,0.20498889415724927,-0.18575865082528206,-0.03088766455917465,-0.28943451107043466,0.24842401634987518,-0.00685099146624507,-0.18362465482014853,0.029140455588935795,-0.1652363028383816,0.20814779348878285,0.07012094861034855,0.03273590955442479,-0.013735703424360687,0.1718346097693803,0.08743402865292749,-0.27947033838056756,0.15327060971563425,0.13513006053116638,0.058657254954160916,0.17957740398219071,0.3394782247111847,-0.14559154532533436,-0.10560471255623403,-0.1761061717677188,0.04611958921132642,-0.04173755280025613,-0.09084827767748402,-0.04332678061096555,0.0041673186717758005,-0.03572935644105622,0.009955300155805877,0.06711632375149833,0.14659598344498406,-0.29259496138755803,0.06420066613419931,-0.018359871877223266,0.07178277793817892,0.006036427941330272,-0.045360015416345024,-0.012487288890219422,-0.1177516644481864,-9.996018293381226e-05,0.20517738914502434,-0.17267672111386947,-0.09318306968624955,-0.13295519718937293,0.21974753527072946,0.08578365479525892,0.2446345837737889,0.12966406736718453,0.09597787725009065,0.03271776699566713,-0.05632173988807434,0.16293662407199563
12,1990K,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1990K,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1990K,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1990K,,50,-1.7450953935020215,-1.385827012406175,-0.15630392438313434,-0.28332578401414893,-0.24226915542680252,-0.15727671613489305,-0.32772528633303993,0.41073141142811537,-0.06991273306938646,0.51437034400394,-0.02890287867838704,0.26262804404089196,-0.20250869158354673,0.6882831257727751,-0.8393438184186601,0.21493341071094674,-0.4815575627695889,0.06212037142930039,0.4455706777584401,-0.04125488251132944,0.3780244004732054,0.007886273698315118,-0.31303345120813436,-0.16876284702254216,0.022441036678357226,0.14339063133170502,0.0687681750351515,-0.3568855530598778,0.08652372348620266,0.15518331604048993,-0.046880430548330944,-0.017914671331233385,-0.0038179426026165265,0.17590917680592041,-0.11366890848451752,-0.16420232514913108,-0.39170179443269965,-0.09224457863313631,0.04723110803115109,0.09130153656179701,0.08987422259180579,-0.12298307161415307,0.35930149371116155,0.2250683909153356,0.0933366213656282,0.3256969910813125,0.21625543928137544,0.11016624378455055,-0.08079982389115965,0.2650955458926935,-0.022858710721263394,-0.24145453398038008,0.005792500555430789,-0.09108584279663727,-0.037639156289971804,0.08259674774873728,0.013097170449146869,-0.1542927487127952,0.11693780102812525,0.05047353137307544,0.21487326477766422,-0.20778876338162197,-0.0732765646684479,-0.05216420390928705,-0.12851451237743755,-0.06370944982845098,-0.003301461746410439,-0.021789221964145313,-0.007093338528980363,-0.020471454184433295
16,1991al,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1991al,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1991al,,40,2.75751898838785,1.5877206474677454,-0.7524919010888664,0.8074469618657613,0.07565463490235155,0.3761834040839495,-0.10036387740067727,-0.6648458655021758,0.2327820068013352,0.990453591290785,-0.6080006106869126,0.3615202377726432,0.29416866153384413,-0.2613354038401828,0.43132576594135613,-0.43907794317915777,-0.7681236903269331,-0.4255588047569717,0.42246293157962567,-0.1682853485639163,-0.6016155190412708,-0.11237980510854496,0.04092249306186368,0.4067847440262793,0.004536277397754095,0.6563746604852377,-0.8021253057996998,0.14845897192468324,-0.17676238193399849,0.0790427975102658,0.024593611496628327,-0.5193179793073204,0.09892258496262404,0.341280510640251,0.28109895551793673,0.03797371518991036,-0.233696599175925,-0.03897927343695578,0.2039159508163124,-0.38039327302353565,-0.0546243486162946,0.006710028136165022,0.4519025993791131,-0.3759358333910101,0.00922636613465989,-0.0813905773622948,0.06271599970330803,-0.042217949073259875,0.1635846375457888,0.3953997012444901,-0.008836184351127896,-0.040086825111879124,0.18030951241582283,-0.2669706818964917,0.018884357216740172,-0.3418505837566417,0.2643328982733345,0.19714824716462837,-0.17344073468657265,-0.31077345337164203,-0.4932170205075574,0.04992223127742499,-0.07738355554897272,0.11283789897981764,-0.09280249445865364,0.10309122618272752,0.07394672776984675,0.15110756346323778,0.13717305619368309,-0.025966392816268506
19,1991al,,50,-1.50362707535599,-3.0981233958985896,0.4334113420291427,-0.345820903643664,0.4736068480224078,0.01623791531093915,0.17030797653549976,1.1152212118595417,-0.4753247404547181,0.732522914287135,-0.16300719021485915,-0.13371369137717376,0.4121959617903002,0.610629944418653,-0.8844109013712005,-1.0712342357168787,0.08223942430390989,0.5924639944659402,0.8147175120147696,-0.584772400823192,0.1776220352261812,0.1997564405669682,-0.23618708325640966,0.3829793426788925,0.12927175427724413,0.02666056749486235,-0.6398503238010528,0.013091147249350545,0.32317626502436947,-0.04505041225062795,0.19767902308316987,0.10613843996543018,0.02306258598374402,0.41270877552624796,-0.20350751257340893,0.02980084927215444,0.18852521766010563,0.002291361319667053,-0.13028363263582077,0.09743424174904554,0.2320799807174191,0.17258674836059912,-0.33656608099630503,-0.2090465615734933,0.3972231903427458,-0.25677124330445955,0.27663648892844006,-0.14136369075893818,0.28486175836343175,0.08552901359545201,-0.11758946459472895,0.5918882513395968,0.07624969457412291,0.07059700264740827,0.336933790421943,-0.08343669622144358,-0.005412325374210051,0.18681984808031438,-0.39612028381541303,-0.06843824333714749,0.14608171543700146,-0.39016671477509834,-0.09863533112523024,-0.015423258058473213,-0.0020256518501851044,-0.23834246259649935,-0.20507716741472481,-0.26571209127709733,-0.3864939167082262,-0.023916758983223818
20,1992af,,20,-0.5820606183923628,-0.46147341906150297,0.1442116936453639,-0.11640739412701077,0.4702614358333029,-0.20203696516840203,0.0255836789947197,0.030732148005109608,0.567592600067218,0.015058151652674986,-0.011902516428356696,-0.03239007114477723,0.2630852122218025,0.1649499851795516,0.07956438183447233,0.02226767476660532,0.1442840452486596,-0.03464143515661507,-0.024018101911540385,-0.05039881730814277,-0.14372982981589885,0.29775604544084583,0.00827371036905439,-0.04527999574087682,0.19476039071664894,0.19517368507285002,0.1347683156160674,0.04346725141973296,-0.1386641507998815,-0.03974842515027608,-0.21439858254052932,-0.07296574790103721,-0.0023558968159417197,-0.12899496910254665,0.05861905849508772,-0.12982283727667823,-0.2974186923455871,-0.10162979484988992,-0.09952811416885327,0.11241626437688161,0.08542197971243624,0.17630655092020933,-0.12123767786929421,-0.0031806435149960084,0.039935018769100175,0.04067612977783457,-0.42353135923967017,0.04683171890965245,0.05795950285268881,-0.04765488892376027,-0.18504024088750692,-0.02202817464272575,-0.31346656307674514,0.029332707963413068,0.09989860837386765,0.02703756307748471,-0.08469841677494878,0.04404090144722608,0.12359358081601694,0.06625099139509273,-0.012757877854636996,-0.058180861469446794,0.029513116445913146,0.16760684583273763,-0.11069666427105503,0.11996421342305914,0.020724771519090395,0.03326481373045647,0.2333550406010539,-0.07246300350327808
21,1992af,,30,-0.8445227098387462,-0.06499196037401418,-0.5655764963930272,-0.008056618494009923,-0.12066348682392043,0.08763803006349186,0.2459503467654198,-0.04812681670927117,0.27716555712500857,0.12771294210943124,-0.11294011898422873,-0.0331021849478791,0.1940127153036455,-0.1201413023528384,-0.24894291580959108,-0.08778317777579364,0.23741327448093014,0.402886031682957,-0.16055718506538985,0.20484626119405372,0.20058765888736757,0.10237410767362515,0.1446452620862784,0.09982843252975326,-0.009871384077288225,0.1880199653128031,-0.0005812395308270283,0.07312793068736977,-0.12084154752617661,-0.08339485368900844,0.07228588380275702,0.08787191641575927,-0.2592559433620941,-0.07705494860043695,-0.11211965680961426,-0.0028681888688184116,0.0977047714500864,-0.05512058194958755,-0.20613573763793255,0.05012700464803909,-0.008832308907920009,0.06494839944900486,-0.09674383810369562,0.0315496089503037,-0.3619678919320048,-0.05055645241014748,0.16812046189225083,0.07816022747348174,-0.05992970745689539,0.018612844860824634,0.059823159905234916,-0.03387414754477057,0.1212321825017686,-0.0658309426162396,-0.13136953771297671,-0.08116047073590667,-0.14259973466582204,-0.17656116922772044,-0.06685951399437165,0.08849077126617012,-0.03595984986691498,-0.028696267540032988,0.06348007184407692,0.006109510111198536,-0.010891234558244518,0.020043369961639905,0.061130630992568616,-0.034550272021725094,0.07137681737611398,0.13066227836151684
22,1992af,,40,0.8162539520365767,0.6022142000579774,-1.127708944068742,0.4816718808908113,0.40926086325717087,0.34193155149665866,-0.008394154507231742,-1.1204990060569446,0.01027194451041873,-0.11405823572329185,-0.01427915256264234,0.3131869425289834,0.09172947789136264,-0.08032592561559308,-0.4296320752230916,-0.4448065591652882,0.4048520939418715,-0.3629702534723161,-0.16332629648454627,0.05945391368885238,-0.08478829458055556,0.0003243834975636593,0.16880201460053282,0.5506550581452732,-0.020770553623453182,-0.23229802357662502,0.06112566987208026,0.23684371531500661,-0.0934615328748951,0.2959317307921087,-0.024247275439658628,0.0631325893178384,0.02819325233423325,-0.06589765642480638,0.0013835646595510428,0.023214206817460524,-0.1874062747204132,0.13246167800843933,-0.08862601082084817,-0.02113303070608463,0.0884408720235823,0.26370135919357807,-0.3121598385739624,-0.1495522062770654,-0.029173916755095647,-0.05243074897744994,-0.38505401954460633,0.04907497840663803,0.15798413972026687,-0.0014066086939948234,0.24216091297588385,0.06341716275352746,-0.0754856065160256,0.10001197495538981,-0.01508383643169057,0.08554499250412938,-0.17839745146105812,0.0413966930535365,0.051773310731770474,0.05204184186299215,-0.27649233547675406,-0.18951044293732844,0.0716877038124362,0.08142015241718803,0.16842491927889158,0.0933004078478443,0.05544999496705106,-0.06037836513858012,-0.00017311565511781086,0.1250220025508885
23,1992af,,50,-0.38311787028038247,-1.8793838022160725,1.152341486311034,-0.40144254244623295,0.8035347624613228,0.7662554915342279,0.7450378167297936,0.06118411822362848,0.154497524573697,0.6159712615722787,-0.3149400187217248,-0.5627895588505285,-0.12938867356394504,-0.24792444039190498,0.3963464207519694,-0.2940962162877695,-0.77058720094344,-0.21717479799970466,-0.18832623967779208,-0.2749930760744646,0.2823185454957403,0.2621428250728042,-0.41128625872204927,0.17273919987390865,-0.23522537224476248,0.15238056847139972,0.1889204052210633,-0.057371160823151864,0.23533478933573448,-0.19614506890699943,0.07907631005123449,0.1424303799661851,-0.23537676097189766,-0.13377966552685233,0.04978268020559946,-0.037230085160419986,0.11100257959494542,0.2846252510693214,-0.024815933455962263,-0.19555950904667255,-0.2720604542999877,-0.048626087000560585,0.09516109541530103,0.1318990285475231,-0.01664732992937187,-0.17683909373864348,-0.06323879687727217,0.03653409874303953,-0.21819113992911476,-0.08203546398974232,0.04262187314882313,-0.033367196454766705,-0.10222962718177839,0.045484803772482624,0.2682997535938502,-0.13137618969870826,-0.034612915856310565,-0.04996304126804862,0.04343926483647036,0.22501291347592695,-0.03517301411717624,-0.23838355579819345,-0.045788536600225145,-0.0449272347657357,0.013895811506291692,-0.15485143937025955,-0.17387383342877838,0.1409804227424867,-0.04875027167833314,-0.058659121684438036
